"id","role","email","name","password_hint","created_at"
"u-admin-001","admin","admin@demo.com","管理员","Admin123","2026-02-25T15:00:06.573Z"
"u-parent-bulk-100","parent","parent100@demo.com","家长100","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-101","parent","parent101@demo.com","家长101","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-102","parent","parent102@demo.com","家长102","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-103","parent","parent103@demo.com","家长103","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-104","parent","parent104@demo.com","家长104","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-105","parent","parent105@demo.com","家长105","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-106","parent","parent106@demo.com","家长106","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-107","parent","parent107@demo.com","家长107","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-108","parent","parent108@demo.com","家长108","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-109","parent","parent109@demo.com","家长109","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-010","parent","parent10@demo.com","家长10","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-110","parent","parent110@demo.com","家长110","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-111","parent","parent111@demo.com","家长111","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-112","parent","parent112@demo.com","家长112","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-113","parent","parent113@demo.com","家长113","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-114","parent","parent114@demo.com","家长114","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-115","parent","parent115@demo.com","家长115","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-116","parent","parent116@demo.com","家长116","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-117","parent","parent117@demo.com","家长117","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-118","parent","parent118@demo.com","家长118","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-119","parent","parent119@demo.com","家长119","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-011","parent","parent11@demo.com","家长11","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-120","parent","parent120@demo.com","家长120","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-121","parent","parent121@demo.com","家长121","Parent123","2026-02-25T15:00:17.299Z"
"u-parent-bulk-122","parent","parent122@demo.com","家长122","Parent123","2026-02-25T15:00:17.299Z"
