"id","role","email","name","password_hint","created_at"
"u-admin-001","admin","admin@demo.com","管理员","Admin123",""
"u-parent-001","parent","parent@demo.com","星妈","Parent123",""
"u-parent-bulk-001","parent","parent1@demo.com","家长1","Parent123",""
"u-parent-bulk-002","parent","parent2@demo.com","家长2","Parent123",""
"u-parent-bulk-003","parent","parent3@demo.com","家长3","Parent123",""
"u-parent-bulk-004","parent","parent4@demo.com","家长4","Parent123",""
"u-parent-bulk-005","parent","parent5@demo.com","家长5","Parent123",""
"u-parent-bulk-006","parent","parent6@demo.com","家长6","Parent123",""
"u-parent-bulk-007","parent","parent7@demo.com","家长7","Parent123",""
"u-parent-bulk-008","parent","parent8@demo.com","家长8","Parent123",""
"u-9cbdec477750","student","11","1","11",""
"u-student-001","student","student@demo.com","小星","Student123",""
"u-student-bulk-001","student","student1@demo.com","学生1","Student123",""
"u-student-bulk-010","student","student10@demo.com","学生10","Student123",""
"u-student-bulk-011","student","student11@demo.com","学生11","Student123",""
"u-student-bulk-012","student","student12@demo.com","学生12","Student123",""
"u-student-bulk-013","student","student13@demo.com","学生13","Student123",""
"u-student-bulk-014","student","student14@demo.com","学生14","Student123",""
"u-student-bulk-015","student","student15@demo.com","学生15","Student123",""
"u-student-bulk-016","student","student16@demo.com","学生16","Student123",""
"u-student-bulk-017","student","student17@demo.com","学生17","Student123",""
"u-student-bulk-018","student","student18@demo.com","学生18","Student123",""
"u-student-bulk-019","student","student19@demo.com","学生19","Student123",""
"u-student-bulk-002","student","student2@demo.com","学生2","Student123",""
"u-student-bulk-020","student","student20@demo.com","学生20","Student123",""
"u-student-bulk-021","student","student21@demo.com","学生21","Student123",""
"u-student-bulk-022","student","student22@demo.com","学生22","Student123",""
"u-student-bulk-023","student","student23@demo.com","学生23","Student123",""
"u-student-bulk-024","student","student24@demo.com","学生24","Student123",""
"u-student-bulk-003","student","student3@demo.com","学生3","Student123",""
"u-student-bulk-004","student","student4@demo.com","学生4","Student123",""
"u-student-bulk-005","student","student5@demo.com","学生5","Student123",""
"u-student-bulk-006","student","student6@demo.com","学生6","Student123",""
"u-student-bulk-007","student","student7@demo.com","学生7","Student123",""
"u-student-bulk-008","student","student8@demo.com","学生8","Student123",""
"u-student-bulk-009","student","student9@demo.com","学生9","Student123",""
"u-teacher-001","teacher","teacher@demo.com","刘老师","Teacher123",""
"u-teacher-bulk-001","teacher","teacher1@demo.com","老师1","Teacher123",""
"u-teacher-bulk-002","teacher","teacher2@demo.com","老师2","Teacher123",""
